cropname,statename,cropyear,seasonname,Production (Lakh Tonnes),majorcrops,Source
Rice,Others,2025-26,Total,24.76,,DA&FW
Rice,Himachal Pradesh,2025-26,Total,1.48,"Maize, Wheat, Rice, Other Pulses, Barley",DA&FW
Rice,Punjab,2025-26,Total,136.67,"Wheat, Rice, Sugarcane, Cotton, Maize",DA&FW
Rice,Uttarakhand,2025-26,Total,5.19,"Sugarcane, Wheat, Rice, Ragi, Small Millets",DA&FW
Rice,Haryana,2025-26,Total,63.71,"Wheat, Sugarcane, Rice, Rapeseed & Mustard, Cotton",DA&FW
Rice,Rajasthan,2025-26,Total,9.16,"Wheat, Rapeseed & Mustard, Bajra, Cotton, Maize",DA&FW
Rice,Uttar Pradesh,2025-26,Total,194.1,"Sugarcane, Wheat, Rice, Bajra, Maize",DA&FW
Rice,Bihar,2025-26,Total,82.49,"Sugarcane, Rice, Wheat, Maize, Jute",DA&FW
Rice,Assam,2025-26,Total,39.35,"Rice, Sugarcane, Jute, Maize, Rapeseed & Mustard",DA&FW
Rice,West Bengal,2025-26,Total,118.54,"Rice, Jute, Maize, Sugarcane, Rapeseed & Mustard",DA&FW
Rice,Jharkhand,2025-26,Total,31.77,"Rice, Maize, Wheat, Rapeseed & Mustard, Gram",DA&FW
Rice,Odisha,2025-26,Total,84.54,"Rice, Cotton, Sugarcane, Maize, Other Pulses",DA&FW
Rice,Chhattisgarh,2025-26,Total,89.17,"Rice, Sugarcane, Maize, Gram, Wheat",DA&FW
Rice,Madhya Pradesh,2025-26,Total,97.11,"Wheat, Rice, Sugarcane, Maize, Soybean",DA&FW
Rice,Gujarat,2025-26,Total,22.26,"Sugarcane, Cotton, Groundnut, Wheat, Rice",DA&FW
Rice,Maharashtra,2025-26,Total,35.96,"Sugarcane, Cotton, Soybean, Maize, Rice",DA&FW
Rice,Andhra Pradesh,2025-26,Total,52.92,"Rice, Sugarcane, Maize, Cotton, Groundnut",DA&FW
Rice,Karnataka,2025-26,Total,30.56,"Sugarcane, Maize, Rice, Cotton, Ragi",DA&FW
Rice,Kerala,2025-26,Total,1.06,"Rice, Sugarcane, Other Pulses, Urad, Gram",DA&FW
Rice,Tamil Nadu,2025-26,Total,27.89,"Sugarcane, Rice, Maize, Groundnut, Jowar",DA&FW
Rice,Telangana,2025-26,Total,96.35,"Rice, Cotton, Maize, Sugarcane, Soybean",DA&FW
Rice,All India,2025-26,Total,1245.04,,DA&FW
